"","Control_day_0_M1","Treatment_day_0_M1","Control_day_7_M1","Treatment_day_7_M1","Treatment_day_14_M1","Control_day_14_M1","Treatment_day_49_M1","Control_day_0_M2","Treatment_day_0_M2","Control_day_7_M2","Treatment_day_7_M2","Treatment_day_14_M2","Control_day_14_M2","Treatment_day_49_M2","Control_day_49_M2","Treatment_day_7_M3","Treatment_day_0_M3","Control_day_0_M3","Control_day_14_M3","Treatment_day_14_M3","Control_day_49_M3","Treatment_day_49_M3","Treatment_day_0_M5","Treatment_day_7_M5","Treatment_day_14_M5","Control_day_0_M5","Control_day_7_M5","Control_day_14_M5","Control_day_49_M5","Treatment_day_0_M6","Treatment_day_7_M6","Treatment_day_14_M6","Treatment_day_49_M6","Control_day_0_M6","Control_day_7_M6","Control_day_14_M6","Control_day_49_M6","Control_day_49_M8","Control_day_14_M8","Control_day_7_M8","Control_day_0_M8","Treatment_day_49_M8","Treatment_day_14_M8","Treatment_day_7_M8","Treatment_day_0_M8"
"Eno1b",9.274685496,6.830886822,8.566357295,8.241437648,8.55052467,8.232607164,7.869192577,6.329825051,7.164915462,8.386620519,8.976884934,7.829415399,7.380915546,7.300201517,5.974664356,7.923488023,6.691106024,8.809594597,6.795337868,6.352381124,6.444424451,6.225864487,7.366772684,8.288692866,7.440045556,7.669400286,5.767338182,7.306102265,6.290333457,7.950613654,8.599343055,7.178839011,6.827464082,6.809516027,7.553568347,6.469163473,5.815735345,7.296727629,8.439163328,7.137403753,6.755436271,7.814318607,7.921034334,7.907911585,7.315265745
"Actb",6.300896114,5.278731381,6.571970333,6.581254649,6.36489667,6.552648366,4.873601203,4.444201683,5.043820409,5.591260563,7.723506843,6.483858487,5.505014321,6.790409226,4.442912914,5.566912876,5.489570434,5.823307793,5.168235272,5.639476916,6.585298992,5.472225021,6.993725026,7.323674248,5.819713174,6.571765986,5.052177156,5.616067943,4.265922892,5.368031269,7.346791199,5.549852918,6.264494014,3.941145665,4.966542769,4.019866055,5.549028982,5.899191089,6.724010017,6.584281155,4.788521673,6.017028094,5.73517276,5.732332498,4.772561513
"F13a1",10.96353353,9.312235836,9.928809698,9.884524334,10.20372699,10.42992285,9.709752004,10.7741658,10.42267498,10.52686051,10.84613484,9.657890204,10.11591317,10.90356505,9.765884071,10.40704093,10.08256364,9.910990387,11.70061991,10.21185902,11.17602062,9.577243476,10.2451208,10.17168882,10.48368684,9.590490685,10.04080786,10.26508914,9.991229649,10.36853482,11.62755094,10.75964017,10.65696354,9.690259923,11.25903173,10.78959755,11.15473289,10.11484988,10.21876743,11.44105172,10.5143141,10.33766467,10.40906481,10.38642485,10.46835015
"Myo1f",8.453469091,9.520229937,7.651132277,8.663583968,9.353342902,6.695548602,9.709643347,7.91566252,9.456565606,9.756932327,9.088388395,9.113776184,10.26244728,7.249963225,6.92045517,9.848171725,9.464396681,8.404376889,8.654984591,9.843868499,7.847261421,8.669650573,10.05307704,8.745815275,9.624590034,8.303237543,9.437392546,9.208197973,7.645135779,9.803160481,9.885826793,8.768100007,8.620313488,9.962193737,9.925653961,8.863443045,8.362372162,7.350716803,8.94093777,9.492906532,9.040775724,8.851381199,9.451249627,9.109133899,9.598899311
"Fetub",10.20511108,11.08903121,12.11538329,11.09353116,11.62437869,12.42692854,11.881552,12.40912736,12.00084273,12.1233089,11.71409848,12.53035687,12.54757868,13.59708476,12.79539464,11.84710207,11.61830942,11.88005088,13.35793948,12.05875631,13.84634503,13.50700371,11.5876524,11.47543818,11.23138566,11.77468545,11.95998878,11.73556042,12.08525458,11.956784,12.5932587,12.59559226,12.9481292,12.10297339,12.57560229,12.65262468,12.60883508,12.69702904,12.1473251,12.79847081,13.38610159,12.18456418,12.0476516,12.06933128,12.45687735
"Crip1",5.539790192,3.620787945,5.937266206,4.831377324,5.673413973,5.943238819,5.023668731,4.604906493,2.631475667,4.734360475,4.736715823,4.044237998,3.900473917,5.168614892,4.834692621,3.0852722,3.58869722,5.293398681,4.461425027,2.354837014,4.634124689,3.659329909,5.322490093,4.402231591,5.607927601,5.455859872,4.238196704,5.368713711,4.534997427,4.132090091,3.294165378,4.027007906,4.834849664,3.679880147,4.592865323,4.453544192,4.791634699,6.31014412,5.065878087,5.889264007,4.517673366,5.736807956,4.777624277,4.01462,3.013170201
"Enpp2",5.121434811,4.937240212,5.807262349,4.557163654,3.88165468,6.220357753,4.82217256,5.514280496,3.890537438,5.801412882,4.088787041,4.104163289,5.470303883,5.573207557,5.335665003,3.672975821,4.674828274,5.442037006,4.893928707,4.23900792,5.296513373,4.063911765,4.727020436,4.700247962,4.656065061,4.496888178,5.091635798,4.556129302,5.296871441,3.023343043,3.631308671,3.358901691,5.278175051,4.945734836,5.467508703,4.265052416,4.936374538,4.417701391,4.672631598,5.297372062,5.118421836,5.914870817,4.463312048,3.638516781,4.310801483
"C8a",7.637230742,7.598778694,8.446050242,7.093454358,7.7661694,9.143776575,7.881965812,8.666841457,8.295163782,8.467392425,7.196882157,7.578975919,7.823093284,8.705435516,7.668031692,8.164148493,7.604134941,7.846730932,8.833165499,8.047534301,8.903715812,8.12768716,8.194704509,7.590328191,7.915633657,8.236700172,8.158552034,8.217184943,7.772481517,7.11603354,7.734521798,6.934733252,8.458665279,7.344628904,8.198703053,8.018103203,8.481806644,7.788391495,8.195512325,8.589710433,9.182911078,7.767392922,7.715592791,7.585374911,8.321420975
"Vat1",12.55441711,10.86726597,11.96571486,11.14377734,11.47193869,11.8408732,11.76958981,11.44789417,11.0479939,12.74665727,11.54066293,12.01358718,11.03355874,11.71054364,11.43942455,11.24304378,11.60311763,12.24176449,11.07355138,12.21720974,11.86417031,11.21570461,12.44822794,12.24174663,12.41421217,12.26453037,11.59407548,12.38728068,12.66863222,12.46001314,11.06492593,11.38955834,11.81185957,12.16651411,12.25206228,11.18788717,11.40788316,12.16782131,12.50091445,12.11580536,11.9137822,12.13375578,11.25596249,11.39565567,10.95723693
"Rnase4",7.308728108,6.982397343,7.654449529,5.826777349,6.852811309,8.095750551,7.431740883,7.719354982,8.265473357,7.620560872,6.542935513,6.480064372,7.24310538,8.042688314,7.198413804,7.821247023,7.140518282,7.166967889,8.349222545,6.713828617,7.221536259,7.828372487,8.171189799,6.037805473,7.427252495,7.804783176,7.026468905,7.572999631,7.937773723,6.489928795,6.530189501,5.873014358,7.544481852,7.089131371,7.806148116,6.588028395,8.394684211,6.534074257,7.885354739,7.963883499,8.177840418,7.848416195,7.373441794,6.897336896,6.229004776
"Myo9b",8.670405718,9.334900907,8.990362436,8.371413739,9.263051884,9.142557069,8.018516477,8.697817831,9.381412534,8.49528193,9.290872458,9.948056512,9.905045687,8.966701528,9.263458961,8.446807808,9.455723235,9.295920221,8.551422427,9.663939699,8.856907495,9.426936527,8.552648415,9.734879913,9.317215323,9.237847008,9.826500347,9.158244405,9.473372096,9.638817645,9.205415281,8.346784985,9.238410048,9.663567303,8.654184533,7.677863734,9.500280185,10.02591637,9.43505273,8.656451337,8.94552482,9.260085301,9.083830284,9.256739119,9.40161571
"Dock11",9.484197967,10.2078007,9.749620052,8.669665117,10.70114606,10.06024739,8.628332428,10.33049268,11.00664942,9.107215721,10.87023046,11.25567052,10.67402992,9.768295599,10.32622564,10.15744472,10.76745329,10.50738617,9.89302217,11.06806118,9.774531138,10.74456741,12.26947236,12.92806691,11.96747933,12.41487002,12.57634639,12.19384169,11.68916463,11.48225083,11.4916471,9.690789143,10.75559792,11.58486688,10.75887421,8.761387509,10.90942516,10.91760685,10.97029671,10.26695101,10.72393207,10.58231378,10.69910762,11.1074738,10.93001871
"Gripap1",9.009305944,7.09719957,10.01356318,5.376955053,9.366202612,8.386050291,9.83585648,8.345166237,9.328109843,8.905540639,8.815662446,9.677886852,7.823129125,10.89944895,9.569271233,9.779812522,7.941819641,8.919671726,10.36486076,8.491048759,9.981237818,9.148518943,7.438611964,7.410219493,7.882561685,9.776335002,9.395749026,9.705595695,10.05310597,8.735461173,9.181894895,6.291053656,9.684768235,9.592334247,7.926480796,9.840220922,9.985300789,5.941938942,9.576006257,10.2175041,6.521533261,8.102784287,9.002101607,9.015822561,10.17127756
"Tnfaip2",7.10392013,8.942193275,8.121928153,7.0767329,7.809575227,8.615264019,8.420641651,6.617027233,7.71554452,8.059443055,8.762589007,8.6582454,9.096227259,8.906862304,9.066135146,6.529318927,9.30846923,8.076986081,8.467510722,7.817741499,8.252136579,6.692182288,6.687079841,7.038464996,6.229103782,6.847745487,6.679603277,6.953255408,6.032481751,6.755078759,9.650413232,7.451658609,9.378933707,9.040214679,8.279726607,9.379859718,8.698013801,7.930959534,7.909030105,7.526209863,7.938829762,8.421961675,8.66152016,6.604227598,8.619138669
"Gss",6.130796754,8.172328,5.515585278,8.02941405,7.596681582,5.264499008,6.493102828,7.82293341,8.239431225,6.992148977,7.882912076,5.995501509,6.828883112,7.126547047,6.828527962,8.307438333,6.468983848,6.740040452,5.532337382,7.578774496,6.009787464,6.799699853,6.855802271,8.237157137,7.392893986,7.667683729,8.536788204,7.950023477,6.273791799,7.181856675,7.274248787,8.585793697,7.443333192,6.534064095,7.226697796,7.543919129,8.038588185,7.549728708,7.755425014,7.087942959,7.020655604,7.762270421,8.038690257,7.844888083,8.010774031
"Mmp2",5.745491987,3.429920019,6.416190285,4.438915197,5.037831434,6.65947982,5.383683122,5.881904719,4.150927133,6.710202814,4.590177915,4.878763413,5.766759125,6.554499728,5.957065322,5.106590472,2.782037282,5.44792544,6.208333556,5.353675784,6.590257803,5.887602496,3.816219062,3.864898562,4.709178606,4.810874698,5.273620163,6.313512278,5.348161382,2.593780897,4.998287584,5.308298687,6.210756568,4.47788152,6.383467693,5.928318995,5.96613994,5.786547259,5.990063871,7.009198424,6.242769183,6.393300646,5.803230316,4.689759845,3.62826473
"Comp",8.647845943,7.021603899,9.693953528,5.671199864,7.715417299,10.49073956,7.901501439,10.02255621,8.271885852,9.583963274,7.410511896,7.605134334,9.28668859,10.24560965,9.294032277,7.150422818,7.973188958,8.958698432,9.825014764,8.129556345,9.958184328,9.144212513,8.584101463,7.716616096,8.974939033,8.481937949,8.67926694,9.225659066,8.972778664,7.113698384,6.927426288,7.39467191,9.498448178,7.743743426,8.26462506,7.809829622,8.369953786,8.629443466,8.272185553,9.219537662,8.209196104,7.685264851,7.277527613,6.168176524,6.788613051
"Mfap4",5.923184582,5.381359791,4.645402951,6.312123133,5.126275008,4.500860972,6.107741946,4.44875026,6.822627209,4.0835843,6.864921574,6.300612803,4.069005085,4.955680977,5.410425674,6.889740258,6.55060548,5.016265692,5.247890684,6.911539856,4.577916568,5.418394836,6.38460283,5.809044604,6.773744019,5.031407782,5.990770407,5.188954655,5.430750558,6.734136918,7.615599821,6.211983488,5.569687001,4.781225886,4.810111514,4.908724654,6.017215995,6.020969348,5.075435082,4.757676249,5.49072691,5.80437887,6.161471075,6.342441287,5.320531544
"C1ra",8.782409238,11.466561402,8.780687,10.487744752,10.43327051,10.10934193,9.465119981,9.769127032,11.8076668,8.94720146,9.898414033,9.907798666,9.371393967,9.697982075,9.236365141,10.92457421,11.55119423,9.324710779,10.06026208,10.70870509,9.71138963,8.864687371,11.42455208,10.492950245,10.151164081,8.636550381,9.114927747,8.74562523,9.020795774,11.468864887,11.64585378,9.632402656,9.494834666,9.222685241,9.378102517,9.182226421,9.26532797,9.864909837,9.867748132,9.503032049,11.38478646,9.314863037,9.951466639,10.536742764,11.567410313
"Serpinf1",9.499210849,9.727831304,11.23184109,8.625073868,9.711072964,12.46446849,10.39899063,10.80947761,11.18391158,11.36216415,8.657641457,9.980692336,10.40865699,11.99791389,9.854541579,10.11148631,9.910106954,10.02739881,11.13196295,9.879255264,11.81377077,10.64289945,10.80696462,9.369358291,9.422337143,10.60114606,10.25223149,10.5077078,10.25243746,8.948560178,8.791298903,9.10146818,11.1374994,9.162521905,10.39370866,10.23702424,11.06766643,8.855304898,9.911708785,11.25841655,11.00877315,10.20287588,9.588838375,9.077034266,8.72914231
"Vps35",7.40903065,6.850413112,6.849266196,6.661541655,7.44062017,8.295909904,7.356136057,7.053528529,7.465563787,7.987178326,6.435141067,5.791729517,6.844099333,8.147237813,6.396255121,7.498518939,6.957768814,6.595560055,7.581947967,6.998992293,7.505524394,7.22720571,6.809726285,6.171848086,6.395697099,6.524631923,6.294188182,6.922856805,6.653550646,5.541599177,6.218740915,6.441146776,7.548737695,6.069689942,6.655366764,6.710384134,7.458613732,5.606845819,6.111626888,7.018524091,6.916254174,6.815123793,6.498100336,6.155924639,6.007657066
"Mia",4.842348233,3.567629016,5.983059031,3.079263519,1.892563447,6.507386792,5.155768805,5.242546882,4.609098485,6.791685604,1.386227392,2.831342233,5.222981029,6.606199673,4.910278221,4.084774582,3.199682232,4.549380928,5.845372669,3.326833292,6.429783952,4.436926924,5.037268484,3.399011542,0.526805389,4.031902825,3.967146192,4.159757008,3.764112873,2.668707215,5.148657013,4.858329008,5.327440428,3.566298743,4.701310854,5.996429447,4.847849379,1.490668756,3.290537978,5.593064852,4.274146875,4.673258749,3.505561435,3.880588615,3.091552223
"Dnhd1",9.525644009,11.36254971,8.843553233,11.85680457,9.475542219,8.267180491,10.16725316,9.362155465,12.95883723,10.45484479,11.29674444,12.48661263,10.43828638,10.38038504,9.8775579,13.32883179,12.24547745,10.38611668,11.21919078,12.6344053,11.05098401,11.05566326,13.34417513,12.35152088,13.3814123,12.56475974,12.41153902,12.08299051,11.6835961,12.22626692,12.79403159,12.43000938,10.689316,9.78501352,10.54691367,11.39308772,10.38734327,10.12721436,8.975317689,9.958480906,11.79023689,11.77219496,12.87608588,12.86446905,13.13227463
"Igfbp6",8.424092591,7.193865972,9.694598857,5.858490112,8.500358266,10.18611233,8.11290214,10.09857508,8.865552259,10.52843999,7.480092408,8.243644616,10.52002277,9.426944308,9.367827437,8.245215978,8.369575144,9.919321503,9.928895723,8.553463182,10.17082653,8.938805319,7.87830829,7.80859774,7.689867688,9.190186968,9.059306099,9.455041535,9.036696573,7.628663061,7.10585492,9.605052325,8.16321795,9.260536963,8.563475599,8.748068461,7.595126147,9.680859169,9.708450843,9.945660291,8.601840681,8.757743717,7.5020952,7.529947213,5.364890741
"Fbln1",9.214281211,7.190853357,8.381967693,6.358991042,7.596551724,9.353746116,6.970136279,9.569996055,8.229741526,8.775065467,7.355207495,7.683540108,8.498596102,8.781899933,8.668845915,7.967911539,7.221368565,7.998164576,9.002791438,7.863459351,9.290399617,7.748425041,7.726693333,6.984827602,7.093334742,7.699969746,7.679926167,7.72617573,7.74719514,7.001188559,7.792573361,7.202003353,7.666263489,7.287521458,8.186432232,7.451720741,8.065272863,8.235331391,8.2701871,9.325528309,9.108677626,6.827085056,7.434459784,7.11021482,7.634357343
"Htra1",6.956567568,8.247661248,7.156013198,7.808961903,7.750460531,6.659217723,7.502817172,7.866853594,9.241540691,7.578914684,7.741039173,7.082133682,7.378924386,6.975281895,6.871579262,8.547133264,7.571439927,7.89959157,7.345469043,8.535791566,7.204375292,7.629800762,8.061751261,8.472951678,7.129269495,7.525899072,6.749753822,6.509188034,6.841552314,7.994099654,8.396653113,8.152408903,7.119053278,6.30684547,6.856765221,6.490332969,6.332277702,6.588864592,7.486801297,6.806560089,6.304923579,7.877179011,7.874584174,8.195436083,8.646660022
"Rock2",10.8188024,9.781039874,10.80491809,9.450639253,7.672738995,11.31217417,9.981349945,10.24561799,9.396042189,11.00088531,9.272236617,8.469114984,10.2420138,10.31927677,10.16571392,9.053190756,9.488482232,10.35766413,10.93636654,9.128383048,10.4100161,9.424703636,9.393321735,9.053935973,9.576137428,9.91422472,9.439842416,10.19032021,10.21100584,9.664045344,9.166372735,9.541438865,9.710916099,10.08903953,10.53638768,11.01988705,10.4105704,9.302694195,9.079754408,10.75235759,10.3409377,9.080774406,9.67564952,9.875093188,9.709501369
"C7",9.692689456,10.06417755,10.67908354,8.886749622,9.894688412,11.55756696,10.13533244,10.55224596,10.4479103,10.34925676,8.908260543,9.682770418,10.00660564,11.14591743,9.561255102,9.825020547,9.685574639,10.14691777,11.04797158,9.830265012,11.21268493,10.29181014,10.80564762,9.921332368,9.942484149,10.67575153,10.62150248,10.79053182,10.78064454,9.128254886,9.472912253,8.451725034,10.52581215,9.34455739,10.23493688,9.840268675,10.75085922,9.717707052,10.43117394,10.86708959,11.39800792,10.08754917,9.768552028,9.569174741,10.00108542
"Cfd",7.379110483,7.773963118,8.870249703,6.334021923,7.809173404,9.936788658,8.375301183,8.842691553,9.343378578,9.53034927,7.004119684,7.575336194,8.814361084,10.01136518,7.843238394,8.359380557,7.857368459,8.058447387,9.631991567,7.998987127,9.573468483,8.949428446,8.728559134,7.319638298,7.292928087,8.81340363,8.147015908,8.512838056,8.537351021,7.345886234,7.415686005,7.556974188,8.814110742,7.407317777,8.224758348,8.086497309,9.370343374,7.473435193,8.703706185,9.483287428,9.500739154,8.023758793,7.746579271,7.581626674,6.909858962
"Spp2",2.460327834,4.405690888,2.854933233,2.499452402,3.339974668,1.288391898,2.688523937,3.513302971,4.822190442,3.434282147,4.162725187,4.750229189,3.311246278,3.421755691,4.223988397,4.436282063,2.714773538,4.181275756,2.873859822,4.692475099,4.636268513,4.474861815,3.545486283,2.656395048,4.279079612,2.318630446,3.356875419,3.314197417,4.587385743,4.409315727,4.611987212,4.366488992,3.982277126,1.678667711,3.208689403,3.271671398,3.493085349,2.282872005,3.242984906,3.497340236,1.444074416,4.230942794,4.174907398,4.337238017,4.92786123
"C2",8.245360025,8.854989808,9.298717938,8.701295539,7.947734879,9.514681753,9.299942254,9.55885668,8.911788518,8.506961589,7.721511216,8.745887076,8.465002749,9.477566335,8.713287738,8.533953035,8.478008049,8.478494815,9.643858664,8.647305984,9.633938013,8.81510785,9.336627612,8.591785799,8.868413634,9.029658599,9.188627098,9.206451473,9.121576094,7.970746878,8.024050571,7.968071659,9.11893686,8.216630352,8.626158421,8.817936992,8.788278475,8.610751551,8.629792916,9.154425949,9.275930002,8.744322151,8.113768017,7.957101828,8.587787263
"Ttn",9.031526066,10.96635509,9.846043901,10.19931009,10.54481095,10.52199326,10.99897563,9.493914745,11.0209752,8.94701911,10.88749578,10.6222836,8.891420745,9.761446048,9.675191776,10.27835499,10.65483395,10.25438945,10.59192937,10.72133082,10.47286104,8.992958894,10.66204961,11.32973898,10.48594268,9.849994726,10.42833562,10.17770915,10.50431062,10.86577176,10.91194629,9.949708718,10.03320862,9.979658066,10.40084235,10.48153342,9.854131218,9.598593501,10.62883667,9.921831158,11.17976487,10.35613651,10.309439,10.15997741,11.15696525
"Folh1",11.01170736,10.46557554,11.65862873,7.969250547,11.20717866,13.16917815,10.03538824,11.89920741,11.23040585,11.69651518,9.666063323,10.29282872,11.71940148,12.55300719,10.57997903,11.33368018,10.68977424,10.84569402,12.61306903,10.39443145,11.72719743,11.41371445,10.89593237,9.964948436,10.67375851,11.7409218,11.21984894,11.52242088,11.31670594,10.2158311,8.299329349,8.339168349,11.51746109,10.84117975,11.48148472,9.898587321,12.46748665,10.30725813,11.30926678,11.79426705,11.8189952,10.76808681,10.51989579,10.47858986,10.1665439
"C1s1",11.10276388,11.9944451,11.46424753,12.42503563,12.70615938,12.61501312,11.71452557,12.39118927,12.59167002,11.74432232,11.60878068,12.40768224,12.27677771,12.20993889,12.21247999,12.6911094,12.25332314,11.67813278,12.64618213,12.94442419,12.50645573,11.45407984,12.18466144,12.08977804,12.47431422,11.3448508,11.64342413,11.15281862,11.24924307,12.16354109,13.32485227,12.10668111,11.98274804,11.6091117,11.706204,11.75030371,11.71527824,12.57619949,12.31463479,12.06694681,13.91777846,11.67666611,12.22301537,12.42659663,12.44396224
"Efemp2",7.635236189,6.406091837,7.928518287,5.371505153,7.461832142,8.45937924,7.672280505,8.135322354,7.478920271,7.222437975,6.785473196,6.656028516,7.176133,8.283994032,7.42635657,6.890800793,6.682001939,7.526618729,8.311296404,7.434825843,8.342212392,7.192552509,7.348122399,6.253059624,7.369245288,7.389927289,7.520216148,7.6791682,7.738684049,6.170051651,6.901306114,5.702848826,7.382278409,6.194828012,7.41504626,5.907085013,7.584768788,7.172204568,7.033541253,7.71571697,7.750748862,6.139880955,6.814199624,5.405021889,5.950033746
