"","Control_day_0_M1","Treatment_day_0_M1","Control_day_7_M1","Treatment_day_7_M1","Treatment_day_14_M1","Control_day_14_M1","Treatment_day_49_M1","Control_day_0_M2","Treatment_day_0_M2","Control_day_7_M2","Treatment_day_7_M2","Treatment_day_14_M2","Control_day_14_M2","Treatment_day_49_M2","Control_day_49_M2","Treatment_day_7_M3","Treatment_day_0_M3","Control_day_0_M3","Control_day_14_M3","Treatment_day_14_M3","Control_day_49_M3","Treatment_day_49_M3","Treatment_day_0_M5","Treatment_day_7_M5","Treatment_day_14_M5","Control_day_0_M5","Control_day_7_M5","Control_day_14_M5","Control_day_49_M5","Treatment_day_0_M6","Treatment_day_7_M6","Treatment_day_14_M6","Treatment_day_49_M6","Control_day_0_M6","Control_day_7_M6","Control_day_14_M6","Control_day_49_M6","Control_day_49_M8","Control_day_14_M8","Control_day_7_M8","Control_day_0_M8","Treatment_day_49_M8","Treatment_day_14_M8","Treatment_day_7_M8","Treatment_day_0_M8"
"Minpp1",6.860446612,7.735074088,7.180593607,7.275629449,6.707315719,6.416454172,7.958596358,6.920227788,7.680067043,6.871904994,7.487528456,8.030429307,7.039976176,7.621585127,7.740055688,7.047654454,7.700396127,7.056621975,7.192555343,7.522794124,6.155613331,7.78287861,6.948131461,8.275211238,7.540615326,7.189636967,7.057141873,7.617473952,7.004801176,7.852575977,7.590838813,7.540687668,8.182105523,7.765209249,7.692971465,7.854159023,7.337951298,7.426398501,7.430411961,7.225473791,6.784520063,6.870166938,7.22502586,7.408140749,7.079094865
"Pdia3",9.526350887,8.299860458,8.847048243,7.989221869,8.630248224,7.876734728,7.956402827,7.824743764,8.468206602,8.681393844,9.56429343,8.601120608,7.91896543,8.903308311,9.247786033,8.209861471,8.523145078,9.546647355,8.354054035,8.590871339,7.307439066,8.457710176,9.42757909,9.842799273,8.648075699,7.384818912,8.566345065,8.892360487,8.556679225,9.038988093,8.453004071,8.879464275,8.094070785,8.336148014,8.126870442,9.133043194,8.634198893,8.514904384,8.62117448,8.055351847,7.921001574,8.529658011,8.53023935,8.337463919,8.668555598
"Tcn2",9.995085407,7.971957686,8.25836019,5.719156011,7.960890908,9.092672597,8.043020835,7.755807335,8.201940072,9.036133683,6.497597997,6.084603739,8.736481589,8.174961302,7.478916244,8.378963224,8.092275007,9.224732451,8.434360886,8.269070357,8.141800341,8.184133096,7.603737453,6.636369052,7.137530648,7.789689427,7.152452981,7.581857987,8.213279221,7.685501759,7.10054986,6.234107506,7.365463943,7.800428651,7.913865274,7.977631885,8.247184614,5.09764832,7.770606713,7.859853554,7.496982034,7.619964567,7.487018246,7.800703366,6.51055531
"Apob",10.94103051,10.96727639,10.50690448,10.29134231,10.25543106,10.90337641,11.18203419,9.081987348,9.685900405,11.01482771,9.586716631,10.49785657,10.28786954,10.39156177,9.851618409,9.903835499,10.16186276,10.03775585,9.303467851,10.68554464,10.50973221,10.70140796,9.724716821,10.08926109,9.948314903,9.631515464,9.763365593,9.970705596,9.834508895,10.19241445,9.771795795,10.04573802,10.48919051,9.944139829,10.41669262,11.14000232,10.33608361,8.657306451,10.79610108,9.811128007,11.97269715,9.775394392,11.1229019,11.01984743,10.98484654
"Wdr91",10.59807616,8.521487793,11.73756746,7.784489499,10.89230511,12.99281535,9.983022095,11.81509674,10.83953479,11.74597068,9.858871304,9.452478948,11.37138425,10.86698276,11.43972961,11.06902009,10.62140434,10.86585969,12.27002689,10.14248165,11.42044796,11.47851461,11.09729356,9.033114025,10.0216293,11.16241102,10.879645,11.26190968,11.4657269,10.02170105,10.07727582,8.769388431,11.56385548,10.70461761,11.14087576,10.04598407,12.29401525,9.466417704,10.98172551,11.7685044,11.77523211,10.73743244,10.37219362,10.4586308,9.696511728
"Aldh1a3",8.845496342,9.505334194,9.116174214,8.834929984,8.699022519,8.40483617,9.007332007,8.341651886,9.106190034,9.469358422,8.737698475,9.766525399,9.682910803,8.806555191,9.290789344,7.98056152,9.501774525,9.121720064,8.674494332,9.306291214,9.461186515,9.459337205,8.688469639,9.483013535,8.537414593,9.25684429,9.551344848,9.56698591,8.156580512,9.288041062,9.120490054,8.887517614,9.22935543,9.515023008,8.453237301,9.456511277,9.461411746,7.584522184,9.294755315,8.624280373,9.207553794,8.784233649,9.216181834,8.844910108,8.66225989
"Pros1",7.37769923,7.651049017,7.224212152,6.845467292,7.696651433,6.993866263,8.116160159,8.156811202,7.043662017,6.864782967,7.038917466,7.168227214,6.628751516,7.612450791,7.710169468,6.694832208,7.402345249,7.243321863,7.035901952,7.050642914,7.099613861,7.60776651,6.823699374,7.761493709,7.380152408,7.420143226,7.593213652,7.766889219,7.731422626,7.490593289,7.558423223,7.227618603,7.008053467,7.586996549,7.877995412,7.548311567,7.067335531,8.003203269,7.610405321,6.485629145,7.213017647,7.118337483,7.160286883,7.174700747,7.536740835
"Pla2g7",5.223981815,4.708712513,5.390724873,4.499043199,4.396814213,2.988360807,4.921204101,5.650182764,6.085325861,6.364453582,5.118470262,5.365976542,3.685493112,4.941061168,3.546271364,5.168354144,5.122415274,5.382858697,3.703126263,5.737812266,5.653709837,5.385940738,5.37005725,4.621100728,5.211133968,5.698983132,4.689504213,5.096232358,5.13219265,5.963691172,5.670228436,5.516619894,3.237174809,5.521052248,5.148205188,6.095216253,4.851436995,4.835414718,5.656175944,4.359308211,5.723119374,4.987467514,5.942682512,6.123828046,6.391324309
"Sh3gl1",6.660093424,5.107791108,6.243918509,6.052466193,5.000583716,6.485635388,6.396635966,6.881697658,4.820672583,5.961154889,5.839407719,6.430158987,6.733251333,6.77223032,6.542303984,6.017370865,6.157703309,6.207192069,5.426685737,5.544914241,6.54449526,6.661220094,6.613199431,3.629038453,6.869800284,7.105641871,6.813696265,6.854566745,6.769025585,6.343299505,7.075928655,6.344345711,4.809628064,6.740361056,6.492806649,7.084365909,6.251371219,4.924042214,5.509032927,7.326917837,5.874672401,6.799434559,6.802511296,6.994092464,7.401700086
"Ano6",7.274457692,7.006155594,6.981764685,7.125730916,7.651753834,7.838288011,5.976328962,6.002901747,7.165695056,6.654060899,6.992269207,7.715378338,7.772299087,6.892841497,7.772634085,7.326635102,6.458961916,7.553693424,6.554707181,7.161702499,7.326528312,6.380382357,6.659109488,7.439540316,6.796957787,7.620046516,7.442352549,7.466556674,7.390084876,7.436731636,7.611236659,6.28099036,7.302803993,7.688518317,7.151115111,7.21914272,8.223032455,7.37147097,7.444914963,6.960119159,7.375058695,7.123236363,7.270949081,7.57486937,6.74168578
